ra,dec,u,g,r,i,z
161.593248320009,50.9814530715535,21.92183,21.4917,21.04325,20.95713,20.6456
161.593895815176,51.0104065606103,23.98699,21.1497,20.28711,19.89288,19.58496
161.594068464425,50.9893627272466,24.54032,24.23683,23.32651,21.98719,21.75541
161.595110045976,51.1123358379127,25.01039,24.32071,22.8477,21.28515,20.43086
161.595142269747,51.1403062104344,23.69528,23.92807,22.784,22.70858,21.63244
161.595486207717,51.0763470803033,-9999,-9999,-9999,-9999,-9999
161.595498179841,51.0763531497983,23.44022,22.57664,20.80982,20.13101,19.82976
161.595546430333,51.1785591094641,21.97953,21.91884,21.18807,20.88239,20.36761
161.59555250968,51.0248758818715,26.28529,23.44382,22.27469,21.6991,21.82001
161.59562882631,50.9269126710455,25.611,22.33877,21.75888,21.29303,21.85937
161.595705732525,51.0540784209418,25.08624,22.43352,21.60695,21.11559,21.18122
161.595737922294,51.0540834093366,25.54964,22.51547,21.62573,21.12849,21.19015
161.595762735716,50.8853834356265,24.06349,21.15653,19.56132,18.92677,18.62048
161.595799963177,50.9920875320078,-9999,-9999,-9999,-9999,-9999
161.595826163186,51.1557710454927,25.66078,24.65055,24.92337,24.87825,20.70614
161.59590615117,50.992051665325,23.52775,25.97583,23.83372,21.39967,20.27171
161.596172060821,50.9798322731346,20.65214,20.27413,19.89045,19.90695,20.06995
161.59620024241,50.9798072892332,-9999,-9999,-9999,-9999,-9999
161.596462279576,51.1063388780451,22.77417,22.08184,21.53267,21.29275,21.08652
161.596660505001,50.8729886772342,24.25198,22.73353,22.13433,21.81871,21.79312
161.596660505001,50.8729886772342,24.9551,22.73353,22.13433,21.81871,21.91834
161.597143561054,51.0515581672167,23.41205,24.53403,23.17131,22.1436,21.41863
161.597193614036,51.0515580658769,23.43751,24.39503,23.0715,21.99484,21.34845
161.597789306953,50.8974789365716,22.0438,20.92514,20.62332,20.51488,20.38827
161.597839701246,51.087139425821,20.67144,18.93866,17.65611,17.13548,16.9047
161.597858085979,51.0871432823511,20.16068,18.18547,16.9378,17.46504,16.23931
161.597913590998,51.0132157054424,23.15333,23.41516,22.58737,22.30209,21.90614
161.597924419686,51.1839662616158,24.10468,21.50585,20.62423,20.31423,20.09735
161.597924419701,51.1839662616185,23.0722,21.50585,20.62423,20.31429,20.09727
161.598237442324,50.9862700749342,25.94126,20.34198,22.04735,22.38003,23.0382
161.598305063714,50.9863013284092,23.47963,23.04824,23.89835,23.22255,22.05492
161.598502845089,51.086234785286,28.33684,20.18095,21.89006,23.25216,18.55606
161.598549256171,51.1718862291605,20.72552,18.13697,16.95496,16.50991,16.30811
161.598565689148,51.1718866058538,20.74768,18.13654,16.95336,16.5098,16.30559
161.598670393247,50.9239052956426,26.05853,24.71412,22.01715,20.85503,19.89236
161.598680925523,51.0309119530209,22.85132,22.98959,22.13873,22.04521,23.11274
161.598733976566,50.9718195485178,25.14878,26.40468,21.51857,26.10577,20.63154
161.598757093858,51.1991296290568,19.92801,18.87083,18.51689,18.38503,18.34819
161.598772332886,51.1991284655628,19.93948,18.87072,18.51101,18.38251,18.3464
161.598798021615,50.9402691195439,24.2871,23.4908,22.04198,20.38063,19.54735
161.599130146567,51.2295673850131,22.82283,21.12456,20.57493,20.38298,19.77965
161.599327946476,51.0102859197291,23.6278,24.89467,22.93266,23.16378,22.55345
161.599353469972,51.1181141702108,22.55199,23.08523,22.79054,21.53135,21.48882
161.599397084755,51.0877229495811,18.03545,15.6982,14.70053,14.83067,14.08477
161.599397514595,51.0877230263388,18.05936,15.70524,14.70601,14.91433,14.09819
161.599411207475,51.0877260647478,18.0346,15.69797,14.6999,14.82981,14.08395
161.599411583287,51.0877261741767,18.08626,15.72705,14.72082,14.82685,14.11343
161.599753957014,50.9652510895134,23.11633,22.8183,21.94857,21.95418,21.7822
161.599753987589,50.9652511439844,23.11751,22.81854,21.94967,21.95414,21.78334
161.599999157869,50.9051092059672,23.62134,23.39103,21.65783,21.00629,20.27122
161.600158272845,51.1833766621045,25.22446,24.21561,22.42366,21.52566,21.61426
161.600681269341,50.9501750521757,20.41937,20.27778,20.04702,19.97058,19.86106
161.600726066816,51.1283992614982,23.47,22.04254,21.60863,21.35825,21.6428
161.601026069781,51.2099394212922,24.85814,21.84228,20.48958,19.3643,18.71303
161.601042609001,51.2099234904636,24.36671,21.82723,20.59724,19.36848,18.78617
161.601076916975,50.9638111347587,23.89789,22.76839,21.89781,21.62734,22.08123
161.601367780029,51.1389599208135,25.53671,22.47866,22.10388,21.65791,23.26441
161.601574536903,50.986046263892,22.76739,22.68155,22.2859,21.83899,22.78062
161.601855480205,51.1060759414971,24.67641,24.20559,22.72249,22.21762,22.70039
